의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2107144,21,다문화가족지원법 일부개정법률안,조오섭의원 등 13인,조오섭,"강은미,권인숙,문진석,민형배,박상혁,서삼석,송갑석,우원식,이용빈,인재근,주철현,진성준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2L1U0M1U0D4I1P8V0L1W0V1R7W5S3&ageFrom=21&ageTo=21,여성가족위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2L1U0M1U0D4I1P8V0L1W0V1R7W5S3
2107143,21,화물자동차 운수사업법 일부개정법률안,조오섭의원 등 11인,조오섭,"김승남,문진석,민형배,소병훈,송갑석,양향자,우원식,이형석,인재근,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2K1X0A1B0E4J1P7U5Y8S4E3E1L6E6&ageFrom=21&ageTo=21,국토교통위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_U2K1X0A1B0E4J1P7U5Y8S4E3E1L6E6
2107142,21,군형법 일부개정법률안,한기호의원 등 10인,한기호,"곽상도,권명호,김희국,박대출,백종헌,신원식,유의동,이철규,장제원",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2I1T0O1O0X4D1U6V4V1K0T7D6G3E6&ageFrom=21&ageTo=21,법제사법위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2I1T0O1O0X4D1U6V4V1K0T7D6G3E6
2107141,21,아동복지법 일부개정법률안,권칠승의원 등 10인,권칠승,"강득구,남인순,소병철,송기헌,신정훈,윤영찬,이성만,인재근,전용기",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2M1M0R1G0I4D1E5F5U3Q0D8A8A0U4&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2M1M0R1G0I4D1E5F5U3Q0D8A8A0U4
2107140,21,노인·장애인 등 사회복지시설 급식안전 지원 법률안,최혜영의원등15인,최혜영,"강준현,고영인,김상희,김홍걸,김회재,박홍근,송영길,용혜인,윤준병,이광재,이규민,임종성,정청래,허종식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2X0H1A2A2N4A1P9H1S5D1Z1X3L0F5&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2X0H1A2A2N4A1P9H1S5D1Z1X3L0F5
2107139,21,교육공무원법 일부개정법률안,김병욱의원등13인,김병욱,"곽상도,김석기,김성원,김영식,배준영,서병수,서일준,이주환,임이자,최춘식,태영호,허은아",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2T0X1M2I0X9A1C0Z1T7E5I1Y2Q7O0&ageFrom=21&ageTo=21,교육위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2T0X1M2I0X9A1C0Z1T7E5I1Y2Q7O0
2107138,21,공공보건의료에 관한 법률 일부개정법률안,신현영의원등18인,신현영,"김병주,김영배,박찬대,서동용,송영길,용혜인,유정주,윤영찬,이광재,이규민,이수진,이용빈,이용우,정필모,허영,허종식,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2C0J1Z2K3O0C0L9O1B5M3X5B2N8T5&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2C0J1Z2K3O0C0L9O1B5M3X5B2N8T5
2107137,21,지방의료원의 설립 및 운영에 관한 법률 일부개정법률안,신현영의원 등 18인,신현영,"김병주,김영배,박찬대,서동용,송영길,용혜인,유정주,윤영찬,이광재,이규민,이수진,이용빈,이용우,정필모,허영,허종식,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2R0P1C2D3Y0F0F9I1V6E1T7Y4M6W6&ageFrom=21&ageTo=21,보건복지위원회,2021-01-04,수정가결,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2R0P1C2D3Y0F0F9I1V6E1T7Y4M6W6
2107136,21,군사시설 인근지역 지원에 관한 특별법안,김선교의원 등 10인,김선교,"권성동,김예지,김형동,성일종,안병길,윤창현,이만희,이종배,조수진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2K1R0U1M0W4U1Y3N3U9I5U7X9H5A9&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2K1R0U1M0W4U1Y3N3U9I5U7X9H5A9
2107135,21,보조금 관리에 관한 법률 일부개정법률안,신현영의원 등 19인,신현영,"김병주,김영배,박찬대,서동용,송영길,용혜인,유정주,윤영찬,이광재,이규민,이수진,이용빈,이용우,정찬민,정필모,허영,허종식,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2L0B1T2Z3O0O0T9O1U6O5D3R6C4J5&ageFrom=21&ageTo=21,기획재정위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2L0B1T2Z3O0O0T9O1U6O5D3R6C4J5
