품목별(1),품목별(2),품목별(3),항목,시점,데이터
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 04,10235
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 05,9857
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 06,11569
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 07,9919
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 08,9348
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 09,9910
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 10,9320
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 11,10814
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2020. 12,11804
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 01,8438
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 02,7339
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 03,8907
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 04,10422
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 05,9354
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 06,9931
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 07,9409
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 08,9952
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 09,10893
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 10,13941
식품 및 산동물,고기및 고기 조제품,소계,수출액 (천달러),2021. 11,12343
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 01,605427
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 02,368586
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 03,439234
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 04,429653
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 05,475491
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 06,374496
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 07,450675
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 08,423398
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 09,455591
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 10,422843
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 11,397095
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2020. 12,376554
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 01,572533
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 02,397571
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 03,516114
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 04,476022
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 05,519447
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 06,535609
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 07,519353
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 08,577330
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 09,558098
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 10,570510
식품 및 산동물,고기및 고기 조제품,소계,수입액 (천달러),2021. 11,585685
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 01,202
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 02,151
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 03,328
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 04,207
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 05,195
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 06,312
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 07,234
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 08,141
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 09,437
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 10,134
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 11,436
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 12,398
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 01,295
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 02,139
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 03,323
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 04,365
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 05,187
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 06,94
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 07,296
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 08,217
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 09,197
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 10,272
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 11,284
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 01,381680
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 02,193521
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 03,236296
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 04,237725
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 05,250466
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 06,201347
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 07,228761
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 08,240824
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 09,271127
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 10,242033
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 11,226020
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2020. 12,186245
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 01,377914
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 02,210018
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 03,276113
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 04,256932
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 05,297960
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 06,308472
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 07,266444
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 08,328425
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 09,319273
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 10,329134
식품 및 산동물,고기및 고기 조제품,"쇠고기,신선,냉장 또는 냉동한 것",수입액 (천달러),2021. 11,349636
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 01,6200
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 02,5228
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 03,2834
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 04,5226
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 05,5245
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 06,5573
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 07,5999
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 08,4128
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 09,4336
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 10,4395
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 11,4502
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2020. 12,5533
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 01,3926
식품 및 산동물,고기및 고기 조제품,"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액 (천달러),2021. 02,1946
