"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"식품 및 산동물",커피차코코아향신료 및 동제품,코코아,33,6033,7,4228,73,5380,35,6379,1,4037,16,7671,13,6823,16,7067,32,4494,28,5555,102,5139,91,6263,100,4415,5,5762,2,6226,5,5727,39,6521,18,5348,141,6514,56,5574,48,7800,53,7493,80,6633
"식품 및 산동물",커피차코코아향신료 및 동제품,달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품,4622,39516,4319,29145,4045,23243,4303,23953,4676,19736,5115,14555,4025,16091,3906,23980,5357,29758,5615,36095,5799,32750,6094,37904,4566,37351,4508,27888,4919,25587,4374,24676,3513,21565,4696,24398,4677,21251,3763,26542,5364,28553,6039,39459,7099,36746
"식품 및 산동물",커피차코코아향신료 및 동제품,차와 마태,724,3815,842,3521,911,3983,1119,3396,907,3292,1869,3815,1314,3317,2044,4028,2320,4286,1730,3144,1561,4802,2733,4759,1762,4651,2001,3629,3108,4724,3123,4691,2423,4020,3358,4996,2877,4925,2371,4835,2198,4761,2161,5258,3311,5208
"식품 및 산동물",커피차코코아향신료 및 동제품,향신료,1510,5382,1132,4858,1773,6458,1375,8610,1300,6970,1388,6544,1790,7014,1570,5465,1543,8213,1684,6322,2105,5634,2120,5290,1199,5151,1735,4628,1761,6380,1686,10154,1546,8200,2020,8973,1380,6326,1519,5663,1693,4730,2089,10012,2899,8044
"식품 및 산동물",동물사료,소계,16950,206063,20205,188116,21866,223841,19915,230895,16176,212433,17280,232820,16261,228044,13829,184521,23463,236712,18387,213930,21993,202410,23885,244805,19143,229727,19007,221412,23308,246190,26320,243481,21698,269313,24498,262192,25180,276603,23165,260796,24212,236923,22003,269993,29666,260963
"식품 및 산동물",동물사료,동물사료,16950,206063,20205,188116,21866,223841,19915,230895,16176,212433,17280,232820,16261,228044,13829,184521,23463,236712,18387,213930,21993,202410,23885,244805,19143,229727,19007,221412,23308,246190,26320,243481,21698,269313,24498,262192,25180,276603,23165,260796,24212,236923,22003,269993,29666,260963
"식품 및 산동물",기타 식용제품 및 조제품,소계,122704,210448,140722,184497,168331,223332,173818,217232,151593,209837,164343,219256,181804,223155,151284,200189,174084,216021,160917,211831,170182,219363,190850,228401,174667,222665,158968,212395,217894,272320,198595,242267,185907,248243,185547,245140,180502,248263,182560,245949,182978,246358,194375,252554,214281,258016
"식품 및 산동물",기타 식용제품 및 조제품,마아가린  및 쇼트닝,886,7455,741,6519,731,8552,1029,7361,431,8528,491,7810,833,7608,788,6545,1117,7438,719,8283,840,9028,1400,8148,1118,8414,791,11367,847,11422,724,10793,959,10357,717,8469,816,10099,613,8896,1210,9696,1344,8934,1477,12949
"식품 및 산동물",기타 식용제품 및 조제품,달리 명시되지 않은 식용제품 및 조제품,121818,202994,139982,177978,167600,214780,172789,209871,151162,201309,163852,211445,180971,215547,150497,193643,172966,208583,160198,203549,169342,210335,189450,220253,173549,214251,158178,201028,217047,260898,197871,231474,184948,237886,184831,236670,179686,238164,181947,237054,181768,236662,193031,243620,212805,245067
"음료 및 담배",소계,소계,109820,106147,115915,90266,182117,98268,130155,100104,139526,111296,166697,121897,175996,115229,138118,125063,165944,111415,168199,106899,147492,116742,144557,140350,108691,112596,129180,116961,171822,131914,172627,144109,155265,130326,178819,150112,138983,145330,142631,126841,149751,113570,150743,134519,162036,146849
"음료 및 담배",음료,소계,53365,70439,56188,59217,75252,63713,62976,63629,50563,70873,62664,83250,72716,84723,61290,84788,79444,88337,65607,78942,68709,85240,70578,102317,62366,92139,65006,79258,80702,98616,85046,112223,80405,100307,84703,121722,77525,111797,67036,104765,65953,89335,71060,105801,75200,111005
"음료 및 담배",음료,달리 명시되지 않은 비알콜성음료,31833,11774,34502,11382,50050,13548,41298,10272,34625,13140,41703,15230,47016,15071,41580,13861,53612,18171,42150,10717,40127,11978,46037,10779,40318,9651,41857,10624,54296,15865,57693,14866,57140,13874,58079,18035,54887,17747,43284,15035,44654,13660,49639,14221,51175,12624
"음료 및 담배",음료,알콜성 음료,21533,58665,21686,47835,25202,50164,21678,53356,15938,57732,20960,68020,25700,69651,19710,70927,25832,70165,23456,68225,28583,73262,24541,91538,22048,82487,23149,68634,26406,82751,27353,97358,23265,86433,26624,103687,22639,94050,23752,89730,21298,75674,21421,91580,24025,98381
"음료 및 담배",담배 및 담배제품,소계,56455,35708,59728,31049,106865,34555,67179,36475,88963,40423,104033,38647,103281,30506,76828,40275,86500,23078,102592,27957,78783,31502,73979,38033,46325,20458,64174,37702,91119,33298,87581,31886,74861,30019,94115,28390,61458,33533,75595,22075,83798,24236,79683,28718,86836,35844
"음료 및 담배",담배 및 담배제품,잎담배 및 담배 부산물,1313,24644,1967,17447,2276,23605,1334,23730,58,29398,623,24709,1206,13561,874,25964,1243,8191,520,14147,1093,15609,199,15077,1130,15500,438,27184,1978,19267,1673,18899,2728,18550,591,12914,80,15903,155,8596,632,10917,894,16030,945,18254
"음료 및 담배",담배 및 담배제품,제조담배,55142,11063,57761,13602,104589,10950,65845,12745,88905,11025,103410,13938,102074,16945,75954,14311,85256,14887,102072,13810,77690,15893,73780,22956,45195,4958,63737,10518,89142,14031,85908,12987,72132,11469,93525,15476,61378,17630,75440,13479,83167,13319,78789,12688,85891,17590
"비식용원재료(연료제외)",소계,소계,469068,2423074,451116,1995926,553960,2364216,515972,2625337,352635,2091269,424556,2098011,565837,2448203,447561,1972518,506753,2603752,536949,2480593,652093,2899037,678511,2926920,630310,2918587,677428,2893983,763189,3274003,907170,3759371,866106,3219437,807700,3787960,744949,4169904,838725,3584275,784867,3601145,721650,3946771,775383,3653844
"비식용원재료(연료제외)",원피 및 모피,소계,79,16350,92,13771,72,12482,74,16282,147,11275,103,6536,26,11494,108,6865,87,6759,106,8419,88,5730,142,7296,30,7207,68,6286,6,17923,104,13613,35,16562,104,14413,186,23519,96,15073,69,11361,140,16797,96,14550
"비식용원재료(연료제외)",원피 및 모피,원피(모피제외),79,14858,92,13236,72,11265,74,11070,147,8368,103,5072,26,7697,108,4237,87,5543,106,5431,88,4773,142,7100,30,6509,68,6286,6,11148,104,10577,35,11649,104,14336,186,14345,96,14487,55,10870,140,14200,96,13739
"비식용원재료(연료제외)",원피 및 모피,생모피,-,1492,-,534,-,1216,-,5213,-,2907,-,1464,-,3796,-,2629,-,1217,-,2989,-,957,-,196,-,698,-,-,-,6776,-,3035,-,4912,-,77,-,9174,-,586,14,492,-,2597,-,811
